patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432313,2025-09-30,Method and apparatus for adjusting video brightness,0,G06T|H04N
12430257,2025-09-30,Smart cache cleaner,0,G06F
12430253,2025-09-30,Selectable slice mapping,0,G06F
12430179,2025-09-30,Distribution of a workload among nodes of a system with a NUMA architecture,0,G06F
12430136,2025-09-30,Systems and methods for branch misprediction aware cache prefetcher training,0,G06F
12429932,2025-09-30,Lid carveouts for processor lighting,0,G06F
12424560,2025-09-23,Semiconductor chip device,0,H01L
12423255,2025-09-23,Programmable traffic ingress direction for reduced latency in a DPU,0,G06F
12423243,2025-09-23,Systems and methods for reducing cache fills,0,G06F
12423241,2025-09-23,Shadow tag management for accelerator partitions,0,G06F
12423116,2025-09-23,Policer synchronization across multiple pipelines in a DPU,0,G06F
12423019,2025-09-23,Read gate training and tracking,0,G06F
12423006,2025-09-23,Low power memory state during non-idle processor state,0,G06F|Y02D
12422990,2025-09-23,Extended training for memory,0,G06F
12417994,2025-09-16,Semiconductor chip having stepped conductive pillars,0,H01L
12417179,2025-09-16,Adaptive system probe action to minimize input/output dirty data transfers,0,G06F
12417178,2025-09-16,Programmable data storage memory hierarchy,0,G06F
12417024,2025-09-16,Transforming all-bank processing-in-memory operations into multiple masked processing-in-memory operations,0,G06F
12416962,2025-09-16,Mechanism for performing distributed power management of a multi-GPU system by powering down links based on previously detected idle conditions,0,G06F|Y02D
12413568,2025-09-09,Method and system for distributing keys,0,H04L|H04W
12412119,2025-09-09,Clustering of machine learning (ML) functional components,0,G06F|G06N|G06T
12412096,2025-09-09,Efficient weight clipping for neural networks,0,G06F|G06N
12411787,2025-09-09,Soft disconnect and reconnect for USB tunneled path,0,G06F
12411711,2025-09-09,Enforcing central processing unit quality of service guarantees when servicing accelerator requests,0,G06F|Y02D
12411538,2025-09-09,System-wide low power management,0,G06F|Y02D
12406426,2025-09-02,Hybrid render with deferred primitive batch binning,0,G06T
12406425,2025-09-02,Vertex index routing for two level primitive batch binning,0,G06T
12405897,2025-09-02,Memory page attribute modification,0,G06F
12405894,2025-09-02,Runtime flushing to persistency in heterogenous systems,0,G06F
12405888,2025-09-02,Dynamic performance adjustment,0,G06F
12405790,2025-09-02,Compute unit sorting for reduced divergence,0,G06F
12405652,2025-09-02,System and method for controlling power consumption in processor using interconnected event counters and weighted sum accumulators,0,G06F|Y02D
12400390,2025-08-26,Split-based trees for ray tracing,0,G06T
12400038,2025-08-26,Data integrity verification system and method,0,G06F|H04L
12399855,2025-08-26,Method and apparatus of integrating memory stacks,0,G06F|G11C
12399850,2025-08-26,Secure direct memory access,0,G06F
12399846,2025-08-26,Physical adjustment to system memory with chipset attached memory,0,G06F
12399839,2025-08-26,Dynamically controlled cache rinsing,0,G06F
12399772,2025-08-26,"Devices, systems, and methods for detecting and mitigating silent data corruptions via adaptive voltage-frequency scaling",0,G06F
12399719,2025-08-26,Resource access control,0,G06F
12399621,2025-08-26,Automated memory overclocking,0,G06F
12394683,2025-08-19,Molded semiconductor chip package with stair-step molding layer,0,H01L
12394467,2025-08-19,Read clock start and stop for synchronous memories,0,G06F|G11C
12394011,2025-08-19,Memory management in graphics and compute application programming interfaces,0,G06F|G06T|G09G
12394010,2025-08-19,Pipeline delay elimination with parallel two level primitive batch binning,0,G06T
12393532,2025-08-19,Coherent block read fulfillment,0,G06F
12393518,2025-08-19,Deterministic mixed latency cache,0,G06F
12393487,2025-08-19,VBIOS contingency recovery,0,G06F
12393452,2025-08-19,Distributed user mode processing,0,G06F
12393371,2025-08-19,Process isolation for a processor-in-memory (“PIM”) device,0,G06F
12393256,2025-08-19,Power management advisor to support power management control,0,G06F|G06N|Y02D
12388757,2025-08-12,Systems and methods for using programmable policer circuits for network flow policing,0,H04L
12387767,2025-08-12,Method and apparatus for quantization and dequantization of neural network input and output data using processing-in-memory,0,G06F|G11C
12387766,2025-08-12,Providing data from portions of a memory to processors in memory (PIMs) in an electronic device,0,G06F|G11C
12387121,2025-08-12,Combining quantum states of qubits on a quantum processor,0,G06F|G06N
12386750,2025-08-12,Last level cache hierarchy in chiplet based processors,0,G06F
12386659,2025-08-12,Scheduling multiple processing-in-memory (PIM) threads and non-PIM threads,0,G06F
12386624,2025-08-12,Invariant statistics-based configuration of processor components,0,G06F|G06N
12386526,2025-08-12,Non-blocking parallel bulk memory operations,0,G06F
12381127,2025-08-05,Semiconductor chip device integrating thermal pipes in three-dimensional packaging,0,H01L|H10B
12380034,2025-08-05,Extended attributes for shared page tables,0,G06F
12380029,2025-08-05,Condensed coherence directory entries for processing-in-memory,0,G06F
12379845,2025-08-05,Connection modification based on traffic pattern,0,G06F
12379843,2025-08-05,Chipset attached random access memory,0,G06F
12374645,2025-07-29,Electronic device including dies and an interconnect coupled to the dies and processes of forming the same,0,H01L
12373369,2025-07-29,Scheduling training of an inter-chiplet interface,0,G06F
12373361,2025-07-29,"Systems, methods, and devices for advanced memory technology",0,G06F
12373357,2025-07-29,Systems and methods for data communication bus address sharing,0,G06F
12373275,2025-07-29,"Devices, systems, and methods for out-of-band logging and delivery of error reports",0,G06F
12373264,2025-07-29,Workload data transfer system and method,0,G06F
12373255,2025-07-29,Systems and methods for sharing memory across clusters of directly connected nodes,0,G06F
12373207,2025-07-29,Implementing a micro-operation cache with compaction,0,G06F|Y02D
12367174,2025-07-22,Non-homogeneous chiplets,0,G06F|G06T
12367153,2025-07-22,Multi-level starvation widget,0,G06F
12367145,2025-07-22,Remote acceleration for data dependent address calculation,0,G06F
12367141,2025-07-22,Running average cache hit rate,0,G06F
12367119,2025-07-22,Systems and methods for disabling faulty cores using proxy virtual machines,0,G06F
12367095,2025-07-22,"Devices, systems, and methods for out-of-band delivery of error reports",0,G06F
12367032,2025-07-22,Hot loadable programmable state machine,0,G06F
12366960,2025-07-22,Memory system with region-specific memory access scheduling,0,G06F|G11C|Y02D
12361628,2025-07-15,Configurable multiple-die graphics processing unit,0,G06F|G06T
12360927,2025-07-15,Duplicated registers in chiplet processing units,0,G06F
12360912,2025-07-15,Approach for providing indirect addressing in memory modules,0,G06F
12360907,2025-07-15,Region pattern-matching hardware prefetcher,0,G06F
12360896,2025-07-15,Data routing for efficient decompression of compressed data stored in a cache,0,G06F|G06T
12360804,2025-07-15,Data dependency-aware scheduling,0,G06F
12354183,2025-07-08,Cross GPU scheduling of dependent processes,0,G06F|G06T
12353715,2025-07-08,Near-memory engine for reducing bandwidth utilization in sparse data applications,0,G06F|G11C
12353338,2025-07-08,Locality-based data processing,0,G06F
12353320,2025-07-08,Low latency offloading of collectives over a switch,0,G06F
12346265,2025-07-01,Cache line re-reference interval prediction using physical page address,0,G06F
12346226,2025-07-01,System and method for SEU detection and correction,0,G06F
12340529,2025-06-24,Machine learning-based object-centric approach to image manipulation,0,G06T
12340086,2025-06-24,Apparatus and methods for direct co-processor access to prestored file system data in a non-volatile memory system,0,G06F|G06T
12339783,2025-06-24,Managing a cache using per memory region reuse distance estimation,0,G06F
12339776,2025-06-24,Zero value memory access optimization,0,G06F
12336147,2025-06-17,Component cooler for a computing device,0,F25B|F28D|G06F|H01L|H05K
12334488,2025-06-17,Stacking power delivery device dies,0,H01L
12333309,2025-06-17,Differential pipeline delays in a coprocessor,0,G06F
12333307,2025-06-17,Approach for managing near-memory processing commands from multiple processor threads to prevent interference at near-memory processing elements,0,G06F
12333158,2025-06-17,Efficient memory power control operations,0,G06F|G11C
12332824,2025-06-17,Backside interface for chiplet architecture mixing,0,G06F|H01L
12332795,2025-06-17,Reducing probe filter accesses for processing in memory requests,0,G06F
12332722,2025-06-17,Latency reduction for transitions between active state and sleep state of an integrated circuit,0,G06F
12327124,2025-06-10,Vertical and horizontal broadcast of shared operands,0,G06F
12324130,2025-06-03,Component cooler with spring mechanism,0,F16F|G06F|H01L|H05K
12323490,2025-06-03,Fragmented transfer of data over networks,0,H04L
12323399,2025-06-03,Interactive access to headless cluster managers,0,H04L
12321744,2025-06-03,Systems and methods for hardware gather optimization,0,G06F
12321300,2025-06-03,Apparatus and methods for translating transactions between one or more requesting units and a target unit,0,G06F
12321294,2025-06-03,Data lane variation compensation for data rate enhancement,0,G06F
12321273,2025-06-03,Cascading execution of atomic operations,0,G06F
12321272,2025-06-03,Pseudo out-of-order store commit,0,G06F
12321192,2025-06-03,On-table and off-table detection for electronic devices,0,G01P|G06F
12315551,2025-05-27,Read clock start and stop for synchronous memories,0,G06F|G11C
12315069,2025-05-27,Technique for testing ray for intersection with oriented bounding boxes,0,G06T
12314760,2025-05-27,Garbage collecting wavefront,0,G06F
12314588,2025-05-27,System and method for coalesced multicast data transfers over memory interfaces,0,G06F
12314179,2025-05-27,System performance management using prioritized compute units,0,G06F
12314106,2025-05-27,Operating voltage adjustment for aging circuits,0,G01R|G06F
12307577,2025-05-20,Traversing multiple regions of a bounding volume hierarchy in parallel,0,G06T
12306999,2025-05-20,Secure and power efficient audio data processing,0,G06F|H04L|Y02D
12306754,2025-05-20,Method and apparatus for increasing memory level parallelism by reducing miss status holding register allocation in caches,1,G06F
12306695,2025-05-20,System agnostic autonomous system state management,0,G06F
12306694,2025-05-20,Neural network power management in a multi-GPU system,0,G06F|G06N|G06T|Y02D
12299769,2025-05-13,Dynamic dispatch for workgroup distribution,0,G06F|G06T
12299445,2025-05-13,Register based SIMD lookup table operations,0,G06F
12299413,2025-05-13,Dual vector arithmetic logic unit,0,G06F|G06T
12299297,2025-05-13,Memory controller with enhanced low-power state,0,G06F
12298829,2025-05-13,Platform power manager for rack level power and thermal constraints,0,G06F|Y02D
12293485,2025-05-06,Super resolution upscaling,0,G06T
12293456,2025-05-06,Overlay trees for ray tracing,0,G06T
12293092,2025-05-06,Method and apparatus for managing memory,0,G06F
12288581,2025-04-29,Efficient and low power reference voltage mixing,0,G06F|G11C
12288313,2025-04-29,Low-latency architecture for full frequency noise reduction in image processing,0,G06T
12287753,2025-04-29,Alternative protocol over physical layer,0,G06F
12287739,2025-04-29,Accessing a cache based on an address translation buffer result,0,G06F
12284447,2025-04-22,Method and apparatus for normalizing an image in an image capturing device,0,G06V|H04N
12284116,2025-04-22,Dynamic buffer management in multi-client token flow control routers,0,G06F|H04L
12282776,2025-04-22,Hybrid parallelized tagged geometric (TAGE) branch prediction,0,G06F
12282439,2025-04-22,Dynamic page state aware scheduling of read/write burst transactions,0,G06F
12282428,2025-04-22,Selective speculative prefetch requests for a last-level cache,0,G06F
12278150,2025-04-15,Semiconductor package with annular package lid structure,0,H01L
12277644,2025-04-15,Frustum-bounding volume intersection detection using hemispherical projection,0,G06T
12277643,2025-04-15,Variable bit Morton codes,0,G06F|G06T
12277020,2025-04-15,Default boost mode state for devices,0,G06F|Y02D
12277001,2025-04-15,Automated data-driven system to optimize overclocking,0,G06F
12276850,2025-04-15,Fanout module integrating a photonic integrated circuit,0,G02B|H01L
12273277,2025-04-08,Intelligent allocation of resources in a computing system,0,H04L|Y02D
12272000,2025-04-08,Hierarchical depth data generation using primitive fusion,0,G06T
12271627,2025-04-08,Off-chip memory shared by multiple processing nodes,0,G06F
12271597,2025-04-08,Memory organization for multi-mode support,0,G06F|G11C
12271588,2025-04-08,Prioritization of memory traffic for multi-process workloads,0,G06F
12271318,2025-04-08,Method and apparatus for managing a cache directory,0,G06F
12271244,2025-04-08,On-demand IP initialization within power states,0,G06F|Y02D
12266611,2025-04-01,Mixed density interconnect architectures using hybrid fan-out,0,H01L
12266585,2025-04-01,Arrangement and thermal management of 3D stacked dies,0,H01L
12266139,2025-04-01,Method and system for integrating compression,0,G06T
12266030,2025-04-01,Processing system with selective priority-based two-level binning,0,G06F|G06T|Y02D
12265915,2025-04-01,Composable neural network kernels,0,G06F|G06N
12265908,2025-04-01,Methods for increasing cache hit rates for neural networks,0,G06F|G06N
12265735,2025-04-01,Approach for processing near-memory processing commands using near-memory register definition data,0,G06F
12265732,2025-04-01,Refresh during power state changes,1,G06F
12265496,2025-04-01,Dynamic topology discovery and management with protocol detection,0,G06F
