patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430692,2025-09-30,Visualization of spending data in an altered reality,0,G06F|G06Q|G06T|H04L
12425311,2025-09-23,Dynamic creation of data specification-driven AI-based executable strategies for high availability of evaluation services,0,H04L
12423738,2025-09-23,Systems and methods for offline ecommerce purchases using an item catalog for a user,0,G06Q
12423735,2025-09-23,"Method, medium, and system for automatic data extraction from web pages and analysis thereof",0,G06N|G06Q
12423704,2025-09-23,Graph computing for electronic communication risk detection,0,G06F|G06N|G06Q
12417474,2025-09-16,System and method for tokenizing offers,0,G06Q
12417457,2025-09-16,Same screen quick pay button,0,G06Q|G07F
12417238,2025-09-16,Semantic search architecture for information retrieval with natural language queries,0,G06F
12411933,2025-09-09,Method and apparatus for a data confidence index,0,G06F|H04L
12407518,2025-09-02,Transactions between services in a multi-tenant architecture,0,G06F|H04L
12406254,2025-09-02,Multi-party computation in a computer sharding environment,0,G06Q|H04L
12400230,2025-08-26,Systems and methods for implementing automatic payer authentication,0,G06Q|H04L
12400194,2025-08-26,Unified transaction services for multi-tenant architectures,0,G06F|G06Q
12395460,2025-08-19,Vehicle identification and device communication through directional wireless signaling,0,G06Q|H04L|H04W
12388633,2025-08-12,Techniques for single round multi-party computation for digital signatures,0,H04L
12387217,2025-08-12,Dynamic authentication through user information and intent,0,G06Q
12386910,2025-08-12,Systems and methods for leveraging embedded services,0,G06F
12386642,2025-08-12,Dynamic computing touchpoint journey recommendation platform,0,G06F|G06N|G06Q
12380423,2025-08-05,Short-range transmission of receipt data without contact identifiers,0,G06Q|H04W
12380422,2025-08-05,Methods and systems for contactless transmission of transactional information,0,G06K|G06Q
12380361,2025-08-05,Federated machine learning management,0,G06F|G06N|G06Q|H04L
12380358,2025-08-05,Systems and methods for training and modifying a computer-based model to perform classification,0,G06N
12379946,2025-08-05,Integration of fragment modules in user interfaces,0,G06F
12375259,2025-07-29,Advanced non-fungible token blockchain architecture,0,G06F|H04L
12373833,2025-07-29,Selection of electronic transaction processing channel and multi-factor user authentication,0,G06F|G06Q|H04L
12373823,2025-07-29,Facilitating cryptocurrency-based transactions with time constraint,0,G06Q
12373817,2025-07-29,Login using QR code,0,G06Q|H04L|H04W
12373816,2025-07-29,Establishing digital account usage in digital wallets during cross-platform data processing,0,G06N|G06Q
12373269,2025-07-29,Software orchestration framework for implementing application programming interfaces,0,G06F
12368775,2025-07-22,Scalable service discovery and load balancing using direct client connections to servers,0,H04L
12368682,2025-07-22,Software load balancer to maximize utilization,0,H04L
12367492,2025-07-22,Proximity-based token issuance system,0,G06Q
12367486,2025-07-22,Systems and methods for two-way account onboarding and linking across multiple service providers,0,G06F|G06Q|H04L
12367473,2025-07-22,Versatile point-of-sale systems and methods,0,G06F|G06Q|G07G|H02J|H04L|H04W
12367418,2025-07-22,Machine learning model verification for assessment pipeline deployment,0,G06F|G06N
12367400,2025-07-22,System and method for compact tree representation for machine learning,0,G06F|G06N
12363161,2025-07-15,Neutralizing evasion techniques of malicious websites,0,G06F|H04L
12361448,2025-07-15,Systems and methods for integrated multi-factor multi-label analysis,0,G06F|G06N|G06Q
12361410,2025-07-15,Software architecture for efficient blockchain transactions,0,G06Q|H04L
12361400,2025-07-15,Validation of merchant-associated devices during mobile transactions,0,G06Q
12361397,2025-07-15,Payment transactions via substantially instant communication system,0,G06Q
12361000,2025-07-15,Automatic query and data retrieval optimization through procedural generation of data tables from query patterns,0,G06F
12360886,2025-07-15,Online query execution using a big data framework,0,G06F|G06Q
12354127,2025-07-08,Systems and methods for interfacing with a website to modify content,0,G06Q
12354085,2025-07-08,Using an internal ledger with blockchain transactions,0,G06Q|H04L
12354076,2025-07-08,SDK for dynamic workflow rendering on mobile devices,0,G06F|G06Q|H04L
12353585,2025-07-08,Dual write and dual read access to graph databases,0,G06F
12353396,2025-07-08,Extensive-dimensional solutions for data lineage,0,G06F
12346927,2025-07-01,Proxy objects for tracking processing of electronic coupon codes,0,G06Q|H04L
12346900,2025-07-01,Split path data communication,0,G06Q
12346891,2025-07-01,Identifying transaction processing retry attempts based on machine learning models for transaction success,0,G06N|G06Q|H04L
12346888,2025-07-01,Payment transactions using an augmented reality device,0,G02B|G06F|G06Q|G07F
12346776,2025-07-01,Training data augmentation for machine learning,1,G06F|G06N
12346378,2025-07-01,Automated database query generation and analysis,0,G06F|G06N
12346360,2025-07-01,Unsupervised machine learning model framework for keyword analysis in real-time of multilingual documents,0,G06F
12340353,2025-06-24,Payment link,0,G06Q
12340263,2025-06-24,Edge cloud caching using real-time customer journey insights,0,G06F|H04L
12335119,2025-06-17,Automated manipulation and monitoring of embeddable browsers,0,G06F|G06Q|H04L
12335108,2025-06-17,Systems and methods for leveraging embedded services,0,H04L
12333545,2025-06-17,Probabilistic anomaly detection in streaming device data,0,G06F|G06N|G06Q|H04L
12333519,2025-06-17,Secure QR code based data transfers,0,G06K|G06Q
12327227,2025-06-10,Secured integration of third-party logic in electronic transaction processing,0,G06F|G06Q
12323434,2025-06-03,Page integrity assurance,0,G06F|H04L
12321939,2025-06-03,Platform-agnostic universal transaction profiles,0,G06Q
12321908,2025-06-03,Systems and methods for creating dynamic sessions for mobile application integration,1,G06F|G06Q|H04L|H04W
12321571,2025-06-03,Seamless pagination,0,G06F
12316650,2025-05-27,Computing system defenses to rotating IP addresses during computing attacks,0,H04L
12314936,2025-05-27,Attribute-based card combinations for digital wallets,0,G06Q
12314930,2025-05-27,System and method for facilitating electronic financial transactions during a communication session,0,G06Q
12314262,2025-05-27,Configuration-aware micro-database caches,0,G06F|H04L
12309151,2025-05-20,Credential storage manager for protecting credential security during delegated account use,0,G06F|G06Q|G07G|H04L
12307500,2025-05-20,Edge computing storage nodes based on location and activities for user data separate from cloud computing environments,0,G06F|G06N|G06Q
12307465,2025-05-20,Systems and methods for a data connector integration framework,0,G06F|G06N|G06Q
12307454,2025-05-20,Laundering detection in second layer networks,0,G06Q|H04L
12307446,2025-05-20,Secure multi-factor user authentication on disconnected mobile devices,0,G06F|G06Q|H04L|H04W
12307332,2025-05-20,Training and using a two stage machine learning model to predict an outcome of a prospective transaction,0,G06N|G06Q
12301431,2025-05-13,System architecture for dynamically rendering a customized user interface on a mobile device,0,G06F|G06Q|G07F|H04L|H04W
12299726,2025-05-13,System and method for making content-based recommendations using a user profile likelihood model,0,G06N|G06Q
12299713,2025-05-13,Advertising cannibalization management,0,G06Q
12299682,2025-05-13,Social network payment system,0,G06Q
12299662,2025-05-13,Decentralized transaction processing,0,G06Q
12299651,2025-05-13,Software development kits for point-of-sale device and mobile device interactive frameworks,0,G06F|G06Q|G07F|G07G
12299053,2025-05-13,Extracting webpage features using coded data packages for page heuristics,0,G06F|G06N|G06Q
12299037,2025-05-13,Graph-based feature engineering for machine learning models,0,G06F|G06N
12287855,2025-04-29,Tokenization for cascading user updates,0,G06F
12284194,2025-04-22,Detecting malicious email addresses using email metadata indicators,0,H04L
12282943,2025-04-22,Utilizing a vehicle to determine an identity of a user,0,G06Q
12282909,2025-04-22,Transmitting data based on retrieval locations,0,G06Q
12282736,2025-04-22,Framework for managing natural language processing tools,0,G06F
12282468,2025-04-22,Dynamic data query routing for managing access to datasets having multiple versions,0,G06F
12277787,2025-04-15,Content extraction based on graph modeling,0,G06F|G06N|G06Q|G06V
12277597,2025-04-15,Instant bank account verification through debit card network,0,G06Q
12277560,2025-04-15,Speculative transaction operations for recognized devices,0,G06Q
12277327,2025-04-15,Configurable storage resource usage through a multi-phase data processing pipeline for data storage efficiency,0,G06F
12271887,2025-04-08,QR code initiative: fraud detection,0,G06Q
12271870,2025-04-08,Rapid online clustering,0,G06F|G06N|G06Q
12271803,2025-04-08,Systems and methods for predicting and providing automated online chat assistance,0,G06N|H04L
12271759,2025-04-08,Prediction model for determining decision thresholds,0,G06F|G06Q
12271730,2025-04-08,Compute platform for machine learning model roll-out,0,G06F|G06N
12271703,2025-04-08,Reinforcement learning techniques for dialogue management,0,G06F|G06N|G10L
12260415,2025-03-25,Auditing user feedback data,0,G06F|G06Q
12260203,2025-03-25,Container orchestration framework,0,G06F
12259860,2025-03-25,Efficient random string processing,0,G06F|G06N
12254491,2025-03-18,Data communication using millimeter wave technology and storage thereof,0,G06Q|H04L|H04W
